"","GAME_PLAYED","WIN_RATE","ON_FIRE","ELIS","OBJ_KILLS","OBJ_TIME","DAMAGE","HEALING","DEATH","WEAPON_ACC","SCOPED_ACC","ENMY_SLEPT","OFF_ASSISTS","DEF_ASSISTS","BOOST_ASSISTS","ED","VOTING_CARDS","MEDALS","GOLD","SILVER","BRONZE","PLAYER_ID","WIN","LOSS"
"1",4,0.5714,"13.9%","12.00 ","3.14 ","00:47 ","4,132 ","9,538 ","4.86 ","27% ","66% ","4.29 ","9.86 ","14.00 ","3.71 ",2.47,"0.43 ",1.14,"0.57 ","0.43 ","0.14 ","Wman-2447",2,2
"2",2,1,"24.1%","21.33 ","7.33 ","02:00 ","6,802 ","17,887 ","7.67 ","27% ","66% ","10.67 ","21.00 ","26.67 ","8.00 ",2.78,"1.00 ",2.33,"1.00 ","0.67 ","0.67 ","Wman-2447",2,0
"3",1,0,"6.8%","16.00 ","5.00 ","00:20 ","6,865 ","12,344 ","9.00 ","27% ","66% ","8.00 ","14.00 ","13.00 ","5.00 ",1.78,"0.00 ",1,"1.00 ","0.00 ","0.00 ","Wman-2447",0,1
"4",3,0.4,"6.1%","13.00 ","3.20 ","00:19 ","4,871 ","10,039 ","5.80 ","27% ","66% ","4.60 ","9.00 ","16.40 ","4.00 ",2.24,"0.20 ",1.4,"0.80 ","0.20 ","0.40 ","Wman-2447",1,2
"5",5,0.3333,"8.9%","9.56 ","3.33 ","00:45 ","3,832 ","10,397 ","5.78 ","27% ","66% ","4.56 ","9.22 ","9.67 ","3.89 ",1.65,"0.67 ",1.67,"1.00 ","0.00 ","0.67 ","Wman-2447",2,3
"6",3,0.8,"19.1%","16.40 ","5.40 ","00:59 ","5,637 ","10,831 ","5.20 ","27% ","66% ","5.20 ","13.00 ","12.60 ","4.40 ",3.15,"0.40 ",1.2,"0.60 ","0.20 ","0.20 ","Wman-2447",2,1
"7",2,0.3333,"3.9%","6.67 ","1.67 ","00:11 ","2,303 ","5,813 ","7.33 ","25% ","65% ","2.33 ","6.33 ","7.00 ","3.33 ",0.91,"0.33 ",1.67,"1.00 ","1.00 ","0.00 ","Thespian-11583",1,1
"8",6,0,"5.4%","7.00 ","1.50 ","00:05 ","2,324 ","9,524 ","6.50 ","25% ","65% ","3.50 ","8.00 ","6.00 ","3.00 ",1.08,"0.50 ",2,"0.50 ","1.50 ","0.00 ","Thespian-11583",0,6
"9",7,1,"9.0%","15.25 ","6.00 ","00:44 ","6,569 ","14,625 ","7.00 ","25% ","65% ","6.00 ","13.50 ","17.75 ","4.50 ",2.18,"0.75 ",2,"1.50 ","0.00 ","0.50 ","Thespian-11583",7,0
"10",8,0.3333,"17.7%","12.67 ","4.83 ","00:38 ","4,923 ","14,289 ","7.50 ","24% ","65% ","7.17 ","11.33 ","13.17 ","5.00 ",1.69,"0.67 ",1.33,"1.00 ","0.17 ","0.17 ","Thespian-11583",3,5
"11",8,0.6667,"12.2%","14.17 ","4.17 ","00:52 ","4,630 ","12,731 ","5.83 ","25% ","65% ","6.00 ","15.67 ","18.17 ","7.17 ",2.43,"0.67 ",1.5,"1.00 ","0.00 ","0.17 ","Thespian-11583",5,3
"12",4,0.4286,"11.0%","14.71 ","5.14 ","00:40 ","4,325 ","11,387 ","8.29 ","25% ","65% ","4.43 ","11.29 ","17.00 ","4.00 ",1.78,"0.71 ",1.57,"1.00 ","0.29 ","0.29 ","Thespian-11583",2,2
"13",7,0.5,"18.1%","11.25 ","5.25 ","00:20 ","3,952 ","8,560 ","4.50 ","21% ","61% ","5.25 ","6.50 ","15.00 ","1.50 ",2.5,"0.75 ",1,"1.00 ","0.00 ","0.00 ","concon-21470",4,3
"14",7,0.75,"12.8%","14.50 ","5.75 ","00:45 ","4,345 ","9,840 ","8.75 ","21% ","61% ","5.00 ","11.75 ","17.00 ","4.25 ",1.66,"0.25 ",1.75,"0.75 ","0.00 ","0.75 ","concon-21470",5,2
"15",2,0.3333,"6.1%","14.00 ","4.67 ","00:43 ","5,348 ","10,156 ","10.33 ","21% ","61% ","6.67 ","15.00 ","13.67 ","4.33 ",1.35,"0.33 ",1,"0.33 ","0.67 ","0.33 ","concon-21470",1,1
"16",7,0.75,"14.3%","14.00 ","3.25 ","00:29 ","4,526 ","14,110 ","8.75 ","21% ","61% ","7.25 ","15.50 ","18.25 ","7.00 ",1.6,"0.75 ",1.75,"1.25 ","0.50 ","0.00 ","concon-21470",5,2
"17",8,0.3333,"17.7%","12.83 ","4.50 ","00:41 ","4,989 ","12,954 ","9.83 ","21% ","61% ","7.33 ","12.33 ","18.17 ","4.50 ",1.31,"0.33 ",1.33,"0.50 ","0.50 ","0.33 ","concon-21470",3,5
"18",9,0.5455,"10.5%","11.00 ","3.18 ","00:53 ","4,247 ","11,209 ","8.36 ","21% ","60% ","6.64 ","10.27 ","16.45 ","4.09 ",1.32,"0.55 ",1.45,"0.91 ","0.27 ","0.36 ","concon-21470",5,4
"19",3,0.8,"5.6%","8.20 ","3.20 ","00:50 ","4,023 ","8,778 ","7.00 ","21% ","66% ","5.00 ","9.60 ","15.00 ","3.20 ",1.17,"0.40 ",1.6,"0.60 ","0.80 ","0.20 ","Fluffy-12527",2,1
"20",7,0.6667,"1.8%","14.25 ","7.50 ","01:51 ","6,188 ","18,426 ","12.25 ","21% ","66% ","8.00 ","17.75 ","23.50 ","4.50 ",1.16,"1.00 ",1.5,"1.00 ","0.25 ","0.25 ","Fluffy-12527",5,2
"21",2,0.3333,"14.2%","9.67 ","4.67 ","01:37 ","3,838 ","12,173 ","7.33 ","21% ","66% ","6.00 ","11.67 ","15.00 ","6.33 ",1.32,"0.33 ",1.67,"1.33 ","0.33 ","0.00 ","Fluffy-12527",1,1
"22",6,0.5,"5.5%","4.50 ","0.00 ","00:30 ","2,654 ","7,308 ","5.00 ","21% ","66% ","5.50 ","4.50 ","5.00 ","1.00 ",0.9,"0.50 ",1.5,"0.50 ","0.00 ","0.50 ","Fluffy-12527",3,3
"23",2,0.6667,"18.1%","13.00 ","6.67 ","01:16 ","4,146 ","15,701 ","10.33 ","21% ","66% ","10.00 ","14.33 ","20.67 ","5.00 ",1.26,"0.33 ",1,"1.00 ","0.33 ","0.00 ","Fluffy-12527",1,1
"24",6,0.5,"10.5%","5.50 ","3.50 ","02:32 ","4,074 ","13,506 ","8.00 ","22% ","66% ","6.00 ","7.50 ","18.00 ","4.50 ",0.69,"0.00 ",2,"1.00 ","1.00 ","0.00 ","Fluffy-12527",3,3
"25",1,0,"0.0%","16.00 ","6.00 ","03:10 ","4,243 ","14,733 ","12.00 ","22% ","66% ","10.00 ","17.00 ","26.00 ","4.00 ",1.33,"0.00 ",2,"1.00 ","1.00 ","0.00 ","Fluffy-12527",0,1
"26",3,0.6,"3.2%","10.60 ","3.60 ","00:49 ","3,536 ","9,432 ","6.40 ","22% ","66% ","5.20 ","8.20 ","12.40 ","3.40 ",1.66,"0.40 ",1.2,"0.60 ","0.60 ","0.00 ","Fluffy-12527",2,1
"27",1,1,"15.2%","6.00 ","4.00 ","00:06 ","2,610 ","8,925 ","6.00 ","13% ","61% ","6.00 ","15.00 ","10.00 ","9.00 ",1,"0.00 ",2,"0.00 ","0.00 ","1.00 ","MeeemYO-2855",1,0
"28",7,0.75,"4.1%","9.50 ","2.75 ","01:06 ","3,033 ","16,127 ","7.50 ","13% ","61% ","6.50 ","13.50 ","21.75 ","6.00 ",1.27,"1.25 ",1.25,"1.25 ","0.00 ","0.00 ","MeeemYO-2855",5,2
"29",1,1,"0.2%","12.00 ","6.00 ","01:21 ","3,612 ","12,950 ","9.00 ","13% ","60% ","6.00 ","12.00 ","11.00 ","3.00 ",1.33,"0.00 ",2,"1.00 ","0.00 ","1.00 ","MeeemYO-2855",1,0
"30",1,0,"0.0%","2.00 ","1.00 ","00:08 ","974 ","3,627 ","3.00 ","13% ","60% ","2.00 ","1.00 ","5.00 ","0.00 ",0.67,"0.00 ",1,"0.00 ","1.00 ","0.00 ","MeeemYO-2855",0,1
"31",1,0,"35.3%","27.00 ","13.00 ","03:02 ","6,336 ","19,487 ","10.00 ","13% ","60% ","10.00 ","23.00 ","39.00 ","10.00 ",2.7,"0.00 ",3,"2.00 ","1.00 ","0.00 ","MeeemYO-2855",0,1
"32",3,1,"12.1%","10.20 ","3.20 ","01:06 ","2,651 ","10,786 ","5.20 ","13% ","60% ","5.20 ","13.20 ","19.20 ","5.20 ",1.96,"0.80 ",1.2,"0.80 ","0.20 ","0.20 ","MeeemYO-2855",3,0
"33",11,0.6857,"6.7%","12.53 ","4.99 ","00:57 ","3,564 ","11,497 ","6.93 ","20% ","64% ","6.26 ","12.11 ","15.97 ","4.51 ",1.81,"0.49 ",1.52,"0.90 ","0.26 ","0.34 ","Agoostis-1124",8,3
"34",10,0.125,"13.4%","10.94 ","3.56 ","00:34 ","3,958 ","10,906 ","7.75 ","21% ","63% ","5.62 ","11.50 ","13.44 ","4.06 ",1.41,"0.44 ",1.44,"0.75 ","0.25 ","0.38 ","Agoostis-1124",1,9
"35",1,1,"0.0%","11.00 ","2.00 ","01:05 ","6,142 ","19,653 ","9.00 ","29% ","62% ","6.00 ","13.00 ","23.00 ","5.00 ",1.22,"1.00 ",1,"1.00 ","0.00 ","0.00 ","GCGG-1765",1,0
"36",6,0,"8.5%","14.50 ","3.50 ","01:12 ","8,524 ","16,206 ","10.50 ","29% ","62% ","8.50 ","11.50 ","18.50 ","2.50 ",1.38,"1.00 ",1,"1.00 ","0.00 ","0.00 ","GCGG-1765",0,6
"37",3,0.8,"12.2%","15.20 ","4.20 ","00:49 ","5,462 ","9,334 ","5.00 ","29% ","62% ","7.00 ","13.60 ","14.00 ","5.80 ",3.04,"0.40 ",1.2,"0.80 ","0.20 ","0.20 ","GCGG-1765",2,1
"38",6,0.5,"20.1%","14.50 ","1.50 ","00:30 ","7,916 ","17,113 ","8.50 ","29% ","63% ","12.00 ","19.00 ","22.50 ","6.50 ",1.71,"1.00 ",2,"1.50 ","0.00 ","0.50 ","GCGG-1765",3,3
"39",6,1,"11.4%","18.50 ","5.50 ","00:33 ","7,668 ","9,636 ","7.50 ","29% ","63% ","10.50 ","17.00 ","21.00 ","5.50 ",2.47,"0.50 ",1,"0.50 ","0.50 ","0.00 ","GCGG-1765",6,0
"40",3,0.8,"9.3%","11.80 ","4.60 ","01:03 ","6,315 ","11,698 ","6.40 ","29% ","63% ","8.00 ","12.60 ","17.40 ","4.40 ",1.84,"0.60 ",1,"1.00 ","0.00 ","0.00 ","GCGG-1765",2,1
"41",3,0.8,"12.8%","13.00 ","4.80 ","00:46 ","4,547 ","9,861 ","6.80 ","22% ","63% ","5.80 ","12.60 ","17.20 ","3.60 ",1.91,"0.60 ",1.2,"0.80 ","0.20 ","0.20 ","UltraViolet-11810",2,1
"42",1,0,"9.3%","15.00 ","6.00 ","00:39 ","5,761 ","12,888 ","11.00 ","22% ","63% ","10.00 ","16.00 ","15.00 ","10.00 ",1.36,"0.00 ",4,"2.00 ","2.00 ","1.00 ","UltraViolet-11810",0,1
"43",7,0.5,"23.7%","12.00 ","4.25 ","00:39 ","3,713 ","9,033 ","4.50 ","22% ","63% ","7.50 ","15.00 ","11.25 ","6.25 ",2.67,"0.75 ",1.5,"1.00 ","0.00 ","0.50 ","UltraViolet-11810",4,3
