"","GAME_PLAYED","WIN_RATE","ON_FIRE","ELIS","OBJ_KILLS","OBJ_TIME","DAMAGE","DEATH","SOLO_KILLS","FINAL_BLOWS","BLOCKED","CHARGE","ULT","FIRE","ED","VOTING_CARDS","MEDALS","GOLD","SILVER","BRONZE","PLAYER_ID","WIN","LOSS"
"1",6,0.5,"7.7%","16.33 ","5.83 ","01:39 ","9,881 ","10.00 ","0.00 ","46% ","15,130 ","2.00 ","4.83 ","7.00 ",1.63,"0.17 ",2.5,"0.33 ","1.00 ","1.33 ","Arty-1346",3,3
"2",1,1,"9.7%","48.00 ","20.00 ","03:59 ","30,743 ","21.00 ","1.00 ","50% ","53,074 ","6.00 ","10.00 ","16.00 ",2.29,"1.00 ",6,"1.00 ","3.00 ","3.00 ","Arty-1346",1,0
"3",4,0.25,"12.7%","20.00 ","5.25 ","01:39 ","9,672 ","8.50 ","0.00 ","43% ","17,676 ","2.75 ","4.00 ","8.00 ",2.35,"0.00 ",2,"0.25 ","0.50 ","1.00 ","Arty-1346",1,3
"4",3,0.6667,"6.3%","18.33 ","8.00 ","01:16 ","10,031 ","6.67 ","0.00 ","38% ","10,663 ","1.67 ","1.33 ","6.00 ",2.75,"0.00 ",2.67,"1.00 ","0.67 ","1.00 ","Arty-1346",2,1
"5",15,0.5333,"6.0%","21.93 ","8.80 ","02:20 ","12,190 ","8.93 ","0.40 ","47% ","17,895 ","2.93 ","3.93 ","7.13 ",2.46,"0.53 ",3,"1.00 ","0.87 ","1.13 ","Arty-1346",8,7
"6",2,1,"1.3%","24.50 ","11.00 ","02:13 ","13,080 ","9.00 ","0.50 ","43% ","12,870 ","4.50 ","3.50 ","8.50 ",2.72,"0.00 ",2.5,"0.50 ","1.00 ","1.00 ","Arty-1346",2,0
"7",2,1,"14.8%","27.50 ","10.50 ","02:59 ","17,255 ","10.00 ","1.00 ","38% ","20,636 ","2.50 ","5.50 ","11.50 ",2.75,"0.00 ",2.5,"1.00 ","1.00 ","0.50 ","Mehtis-21293",2,0
"8",1,1,"3.6%","24.00 ","15.00 ","04:59 ","23,018 ","14.00 ","0.00 ","17% ","38,683 ","1.00 ","6.00 ","8.00 ",1.71,"2.00 ",3,"3.00 ","0.00 ","0.00 ","Mehtis-21293",1,0
"9",4,0.5,"5.2%","13.50 ","4.00 ","01:07 ","11,278 ","6.50 ","0.25 ","52% ","15,088 ","1.75 ","2.75 ","6.25 ",2.08,"0.25 ",2.5,"0.75 ","1.25 ","0.50 ","Mehtis-21293",2,2
"10",4,0.5,"7.5%","18.75 ","9.25 ","03:17 ","13,814 ","12.75 ","0.25 ","29% ","25,461 ","1.50 ","4.50 ","9.25 ",1.47,"0.75 ",2.75,"1.25 ","0.25 ","1.25 ","Mehtis-21293",2,2
